sn,FID,agf,plotID,transect,County,genus,species,dbh,height,canopyd,latitude,longitude,altitude,accuracy
822,1408,cropland_agroforestry,144,4,Embu,Musa,acuminata,100,520,380,-0.6558988,37.5769724,1094.3,4.68
823,2130,cropland_agroforestry,144,4,Embu,Grevillea,robusta,100,1300,600,-0.6558831,37.5761698,1098.9,4
824,1407,cropland_agroforestry,144,4,Embu,Musa,acuminata,50,450,300,-0.6558766,37.5764752,1099.8,4.8
825,2129,cropland_agroforestry,144,4,Embu,Grevillea,robusta,25,850,200,-0.65584,37.576161,1102.3,4.78
826,1510,cropland_agroforestry,144,4,Embu,Musa,acuminata,60,450,200,-0.6558107,37.5766404,1099.4,4.94
827,1318,cropland_agroforestry,144,4,Embu,Musa,acuminata,26,600,80,-0.6557948,37.5764262,1111,4.9
828,2131,cropland_agroforestry,144,4,Embu,Grevillea,robusta,10,400,100,-0.6557679,37.5768374,1099.4,4.62
829,2132,cropland_agroforestry,144,4,Embu,Grevillea,robusta,25,850,400,-0.6557598,37.5770975,1099.4,4.84
830,2312,cropland_agroforestry,144,4,Embu,Grevillea,robusta,21,470,280,-0.655729,37.5769992,1094.5,4.64
831,1406,cropland_agroforestry,144,4,Embu,Musa,acuminata,30,450,200,-0.6556909,37.576359,1098.7,4.88
832,3212,cropland_agroforestry,144,4,Embu,Acacia,nilotica,47,650,430,-0.6556181,37.5770364,1108.8,4.9
833,2473,cropland_agroforestry,144,4,Embu,Grevillea,robusta,6,800,200,-0.6555308,37.57623,1117.6,5
834,2471,cropland_agroforestry,144,4,Embu,Grevillea,robusta,15,1200,400,-0.6554997,37.5759954,1116.6,4.72
835,2472,cropland_agroforestry,144,4,Embu,Grevillea,robusta,25,1800,700,-0.6554817,37.5760267,1117.7,4.8
836,3006,cropland_agroforestry,152,4,Murang'a,Eucalyptus,camaldulensi,72,2600,700,-0.6297114,36.9555957,1674.6,5
837,3005,cropland_agroforestry,152,4,Murang'a,Eucalyptus,camaldulensi,33,2000,300,-0.6296163,36.955533,1674.7,4.8
838,2628,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,48,1800,300,-0.6295881,36.9556213,1673,5
839,3004,cropland_agroforestry,152,4,Murang'a,Eucalyptus,camaldulensi,57,2300,600,-0.6295497,36.9556553,1674.7,4.64
840,2629,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,26,740,300,-0.6295492,36.9555058,1668.3,4.983
841,2630,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,40,1900,200,-0.6295057,36.9556505,1668.8,4.52
842,2631,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,34,2300,400,-0.6294507,36.9556377,1668.6,4.88
843,2627,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,23,900,250,-0.629448,36.9555302,1674.7,4.72
844,3007,cropland_agroforestry,152,4,Murang'a,Eucalyptus,camaldulensi,60,2100,420,-0.6294165,36.9555681,1668.7,4.58
845,2274,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,45,950,350,-0.6293714,36.9555921,1683,4.48
846,2275,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,45,850,350,-0.6293467,36.95559,1683,5
847,2394,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,65,1250,250,-0.6291638,36.9556018,1673.4,4.96
848,2395,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,55,950,220,-0.6291427,36.9556427,1670.7,4.775
849,2396,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,56,970,230,-0.6291157,36.9556372,1671.9,4.8
850,2393,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,60,1000,120,-0.6290859,36.9555486,1670.2,4.98
851,2397,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,55,900,280,-0.6290625,36.9556792,1671.9,4.7
852,2398,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,58,800,230,-0.6289738,36.9556675,1671.7,4.8
853,2211,cropland_agroforestry,152,4,Murang'a,Grevillea,robusta,80,1200,400,-0.6289406,36.9553271,1672.4,4.18
